route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade
Talk Talk,Talk Talk Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642916/talk-talk,1.5,-1,Boulder,V4,1,10.0,37.42324,-118.43279,106642916,4.0
José,Birth of the Cool Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116145279/jose,1.0,-1,Boulder,V4,1,8.0,37.41845,-118.43373999999999,116145279,4.0
The Crack Problem,"Crack Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669806/the-crack-problem,2.4,-1,Boulder,V4,1,10.0,37.42232,-118.43364,106669806,4.0
Up For The Down Stoke,"The Hot Pants Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669842/up-for-the-down-stoke,1.9,-1,Boulder,V4,1,10.0,37.42232,-118.43364,106669842,4.0
Sun Spot Right,Sun Spot Boulder > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106669605/sun-spot-right,2.0,-1,Boulder,V4,1,15.0,37.4211,-118.4335,106669605,4.0
Problem B,Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106954467/problem-b,2.0,-1,Boulder,V4,1,10.0,37.417590000000004,-118.43276000000002,106954467,4.0
The Fang,The Bird Cage Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106731640/the-fang,3.3,-1,Boulder,V4,1,15.0,37.4217,-118.43308,106731640,4.0
Arse La Vista,Parrot Fashion Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106739953/arse-la-vista,0.5,-1,Boulder,V4,1,20.0,37.4217,-118.43308,106739953,4.0
Syd Barrett,Parrot Fashion Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106739961/syd-barrett,1.0,-1,Boulder,V4,1,15.0,37.4217,-118.43308,106739961,4.0
Spike,Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106739986/spike,1.5,-1,Boulder,V4,1,10.0,37.4217,-118.43308,106739986,4.0
Problem C,Mr Frosty Cave > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915423/problem-c,1.0,-1,Boulder,V4 PG13,1,15.0,37.4226,-118.4344,106915423,4.0
"Whiskey, Beer and Spliff Hits for Breakfast",Rim Job Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915496/whiskey-beer-and-spliff-hits-for-breakfast,3.5,-1,Boulder,V4,1,12.0,37.4228,-118.4343,106915496,4.0
Unsung Gem,Crystal Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642787/unsung-gem,2.0,-1,Boulder,V4+ PG13,1,18.0,37.42324,-118.43279,106642787,4.25
Problem A,Prozac Nation Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642848/problem-a,1.5,-1,Boulder,V4+,1,10.0,37.42324,-118.43279,106642848,4.25
Molly Dyno,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106617419/molly-dyno,3.0,-1,Boulder,V4-5,1,7.0,37.42075,-118.43391000000001,106617419,4.5
Fueled By Hate,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106068472/fueled-by-hate,2.8,-1,Boulder,V5,1,8.0,37.422540000000005,-118.43364,106068472,5.0
Chizam,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106079500/chizam,2.7,-1,Boulder,V5,1,12.0,37.422540000000005,-118.43364,106079500,5.0
Shaft,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111726269/shaft,2.0,-1,Boulder,V5,1,,37.422540000000005,-118.43364,111726269,5.0
Strength in Numbers (Original SIN),Strength in Numbers Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106068943/strength-in-numbers-original-sin,3.9,-1,Boulder,V5,1,18.0,37.42207,-118.43343999999999,106068943,5.0
Molly,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106094747/molly,3.4,-1,Boulder,V5,1,13.0,37.42075,-118.43391000000001,106094747,5.0
The Snapper,The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642872/the-snapper,3.6,-1,Boulder,V5 PG13,1,18.0,37.42324,-118.43279,106642872,5.0
Pencil Dick,Prozac Nation Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642837/pencil-dick,2.0,-1,Boulder,V5,1,10.0,37.42324,-118.43279,106642837,5.0
Anti-Hero,Death Star Cave > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106617219/anti-hero,3.2,-1,Boulder,V5,1,15.0,37.42029,-118.43378999999999,106617219,5.0
Gotta Be Kidding Me,"Hauck a Loogie Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106637341/gotta-be-kidding-me,1.8,-1,Boulder,V5,1,10.0,37.42232,-118.43364,106637341,5.0
Hauck A Loogie - Sit Start,"Hauck a Loogie Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106637372/hauck-a-loogie-sit-start,2.4,-1,Boulder,V5,1,15.0,37.42232,-118.43364,106637372,5.0
Chef's Arete,"Chef's Boulder - East Side > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669799/chefs-arete,2.0,-1,Boulder,V5,1,10.0,37.42232,-118.43364,106669799,5.0
East Arete,Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106554775/east-arete,3.0,-1,Boulder,V5,1,12.0,37.417590000000004,-118.43276000000002,106554775,5.0
Oceania,Misery Cave North Entrance > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106669620/oceania,1.0,-1,Boulder,V5,1,12.0,37.417590000000004,-118.43276000000002,106669620,5.0
Cow Skull,Cow Skull Boulder > Kung-Fu Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108819564/cow-skull,2.6,-1,Boulder,V5,1,,37.419340000000005,-118.43437,108819564,5.0
Hot Pants,"The Hot Pants Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669836/hot-pants,2.9,-1,Boulder,V5+,1,12.0,37.42232,-118.43364,106669836,5.25
Erotic Terrorist,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322799/erotic-terrorist,2.6,-1,Boulder,V5-6,1,14.0,37.422540000000005,-118.43364,106322799,5.5
Humpty Dumpty Left Start,Humpty Dumpty Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106329067/humpty-dumpty-left-start,1.0,-1,Boulder,V6-,1,15.0,37.417590000000004,-118.43276000000002,106329067,5.75
Mothership Connected,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107491869/mothership-connected,2.8,-1,Boulder,V6,1,15.0,37.422540000000005,-118.43364,107491869,6.0
SIN Variation Start,Strength in Numbers Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106069039/sin-variation-start,2.3,-1,Boulder,V6,1,20.0,37.42207,-118.43343999999999,106069039,6.0
Molly Variation,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106617414/molly-variation,2.0,-1,Boulder,V6,1,12.0,37.42075,-118.43391000000001,106617414,6.0
Birth of the Cool,Birth of the Cool Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116145243/birth-of-the-cool,2.0,-1,Boulder,V6,1,10.0,37.41845,-118.43373999999999,116145243,6.0
Trucker Fucker,Humpty Dumpty Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106329079/trucker-fucker,2.5,-1,Boulder,V6,1,15.0,37.417590000000004,-118.43276000000002,106329079,6.0
Rio's Crack,Rio's Crack Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106340969/rios-crack,3.5,-1,Boulder,V6,1,15.0,37.42027,-118.434,106340969,6.0
French Press,Misery Cave > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106554779/french-press,3.5,-1,Boulder,V6,1,,37.417590000000004,-118.43276000000002,106554779,6.0
Bob Parrot Sit,Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106740027/bob-parrot-sit,1.0,-1,Boulder,V6,1,12.0,37.4217,-118.43308,106740027,6.0
Problem A,Mr Frosty Cave > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915433/problem-a,2.0,-1,Boulder,V6,1,10.0,37.4226,-118.4344,106915433,6.0
Give Me A Rim Job,Rim Job Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106095542/give-me-a-rim-job,3.0,-1,Boulder,V6,1,12.0,37.4228,-118.4343,106095542,6.0
Bruiser Boulder,Bruiser Boulder > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116069980/bruiser-boulder,3.0,-1,Boulder,V6,1,10.0,37.417590000000004,-118.43276000000002,116069980,6.0
The Extrapolator,The Extrapolator Boulder > Eastern Rim > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114171232/the-extrapolator,3.0,-1,Boulder,V6-7 PG13,1,16.0,37.42031,-118.43347,114171232,6.5
Mr. Mackey,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322832/mr-mackey,3.2,-1,Boulder,V7,1,10.0,37.422540000000005,-118.43364,106322832,7.0
Come Together,Strength in Numbers Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106087683/come-together,2.8,-1,Boulder,V7,1,20.0,37.42207,-118.43343999999999,106087683,7.0
Flawless,Prozac Nation Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642826/flawless,2.0,-1,Boulder,V7,1,15.0,37.42324,-118.43279,106642826,7.0
Humpty Dumpty Low,Humpty Dumpty Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106329071/humpty-dumpty-low,2.7,-1,Boulder,V7,1,18.0,37.417590000000004,-118.43276000000002,106329071,7.0
Pinball,Humpty Dumpty Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106329098/pinball,2.0,-1,Boulder,V7,1,20.0,37.417590000000004,-118.43276000000002,106329098,7.0
Lawnmower Man,Los Locos Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106340940/lawnmower-man,3.9,-1,Boulder,V7,1,18.0,37.417590000000004,-118.43276000000002,106340940,7.0
Los Locos,Los Locos Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106340949/los-locos,4.0,-1,Boulder,V7,1,25.0,37.417590000000004,-118.43276000000002,106340949,7.0
Soma,Death Star Cave > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116363745/soma,2.0,-1,Boulder,V7,1,,37.42029,-118.43378999999999,116363745,7.0
Hauck a Loogie Eliminate,"Hauck a Loogie Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106637379/hauck-a-loogie-eliminate,2.7,-1,Boulder,V7,1,12.0,37.42232,-118.43364,106637379,7.0
Water Colors,Water Colors Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106068485/water-colors,2.6,-1,Boulder,V7,1,,37.42112,-118.43318000000001,106068485,7.0
Feeding Frenzy,The Bird Cage Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106731632/feeding-frenzy,2.5,-1,Boulder,V7,1,15.0,37.4217,-118.43308,106731632,7.0
Rad Parrot,Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106740015/rad-parrot,3.0,-1,Boulder,V7,1,20.0,37.4217,-118.43308,106740015,7.0
Problem B,Mr Frosty Cave > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915438/problem-b,2.0,-1,Boulder,V7,1,10.0,37.4226,-118.4344,106915438,7.0
Slunk Left,Slunk Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114115528/slunk-left,2.5,-1,Boulder,V7,1,9.0,37.4226,-118.4346,114115528,7.0
It's All About Love,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106068468/its-all-about-love,2.8,-1,Boulder,V8-,1,10.0,37.422540000000005,-118.43364,106068468,7.75
Mecha-Streisand,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322822/mecha-streisand,2.0,-1,Boulder,V8-,1,10.0,37.422540000000005,-118.43364,106322822,7.75
Water Hazard Right,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112289839/water-hazard-right,2.0,-1,Boulder,V8-,1,16.0,37.422540000000005,-118.43364,112289839,7.75
Mr Frosty,Mr Frosty Cave > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106095536/mr-frosty,3.0,-1,Boulder,V8-,1,8.0,37.4226,-118.4344,106095536,7.75
Darkness at Noon,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322808/darkness-at-noon,2.0,-1,Boulder,V8,1,,37.422540000000005,-118.43364,106322808,8.0
Frostbite,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111726377/frostbite,2.5,-1,Boulder,V8,1,15.0,37.422540000000005,-118.43364,111726377,8.0
Death Star 2000,Death Star Cave > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106617228/death-star-2000,2.7,-1,Boulder,V8,1,12.0,37.42029,-118.43378999999999,106617228,8.0
Pow Pow,Pow Pow Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106068479/pow-pow,3.6,-1,Boulder,V8,1,10.0,37.42112,-118.43318000000001,106068479,8.0
Honalee,Dragon Cave > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112513100/honalee,2.5,-1,Boulder,V8,1,10.0,37.33822,-118.4735,112513100,8.0
Bubba Escapes the Ward,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322788/bubba-escapes-the-ward,2.0,-1,Boulder,V9,1,16.0,37.422540000000005,-118.43364,106322788,9.0
The Ninth Wave,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322848/the-ninth-wave,3.2,-1,Boulder,V9,1,20.0,37.422540000000005,-118.43364,106322848,9.0
