route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade
Classic Melon,Melon Boulder > Roadside Rocks Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106587743/classic-melon,3.0,-1,Boulder,V3,1,15.0,34.02487,-116.18037,106587743,3.0
Ziggy,Marley Boulder > Jimmy Cliff Area > Lost Horse Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106632917/ziggy,2.0,-1,Boulder,V3,1,12.0,34.0121,-116.1773,106632917,3.0
Unmentionable,The Unmentionable > Jimmy Cliff Area > Lost Horse Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106633624/unmentionable,2.0,-1,Boulder,V3,1,15.0,34.0121,-116.1773,106633624,3.0
Dummy Up,Penguins Boulder > Jimmy Cliff Area > Lost Horse Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106676039/dummy-up,2.0,-1,Boulder,V3,1,20.0,34.0121,-116.1773,106676039,3.0
Bandini Mountain,Bandini Mountain > Blas Beemer Area > Lost Horse Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106121845/bandini-mountain,1.0,-1,Boulder,V3,1,20.0,34.01592,-116.17844,106121845,3.0
Dinky Doinks,The Yabo Boulder > Lost Horse Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106683689/dinky-doinks,0.0,-1,Boulder,V3,1,12.0,34.01592,-116.17844,106683689,3.0
Thin Black Dike,Meadows Boulder > Hall of Horrors Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/112813747/thin-black-dike,2.0,-1,Boulder,V3,1,18.0,33.994209999999995,-116.14296999999999,112813747,3.0
Unnamed,Meadows Boulder > Hall of Horrors Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/112813860/unnamed,1.0,-1,Boulder,V3,1,9.0,33.994209999999995,-116.14296999999999,112813860,3.0
Death Spiral,Lynn Hill Memorial Boulder > King Dome Area > Hall of Horrors Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106120037/death-spiral,2.3,-1,Boulder,V3 PG13,1,25.0,34.00378,-116.14935,106120037,3.0
Duncecap Finish,Simpleton Rock > King Dome Area > Hall of Horrors Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/109148777/duncecap-finish,2.0,-1,Boulder,V3,1,15.0,34.00246,-116.1498,109148777,3.0
Buckwheat,Little Rascal Rock > King Dome Area > Hall of Horrors Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106120211/buckwheat,1.0,-1,Boulder,V3 PG13,1,15.0,34.003190000000004,-116.14899,106120211,3.0
Monkeyflower,Land of the Lost Boulder > Echo Cove Bouldering > Echo Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/108716729/monkeyflower,2.7,-1,Boulder,V3,1,12.0,34.0261,-116.15843999999998,108716729,3.0
Kurt Smith Problem,Smith Rock > Echo Cove Bouldering > Echo Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/108084066/kurt-smith-problem,2.0,-1,Boulder,V3,1,15.0,34.02517,-116.15953,108084066,3.0
Flake Dyno,Beak Rock > Echo Rock Boulders > Echo Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106127723/flake-dyno,2.0,-1,Boulder,V3,1,15.0,34.0241,-116.1547,106127723,3.0
