route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade
One-Pull,Back Walls > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106976674/one-pull,1.0,-1,Boulder,V1,1,12.0,37.41728,-118.45034,106976674,1.0
Immigration In The Media Is A Chossy Belly Bulge,Back Walls > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106976683/immigration-in-the-media-is-a-chossy-belly-bulge,1.8,-1,Boulder,V1,1,12.0,37.41728,-118.45034,106976683,1.0
Frontal Assault,The Citadel Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106996403/frontal-assault,0.0,-1,Boulder,V1,1,,37.41793,-118.45156999999999,106996403,1.0
Make Me Believe I'm Not Going to Die,You Are Mortal Buttress > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997202/make-me-believe-im-not-going-to-die,0.0,-1,Boulder,V1,1,,37.41793,-118.45156999999999,106997202,1.0
Naked,Black Magic Boulder > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106996976/naked,1.3,-1,Boulder,V1 X,1,20.0,37.41675,-118.44941999999999,106996976,1.25
Problem A,Blood Simple Wall > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997228/problem-a,1.0,-1,Boulder,V1,1,12.0,37.416959999999996,-118.44946999999999,106997228,1.0
Problem A,California Rim Boulder > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997216/problem-a,1.0,-1,Boulder,V1,1,8.0,37.41675,-118.44941999999999,106997216,1.0
Joel,Coen Brothers Boulder > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997369/joel,1.0,-1,Boulder,V1,1,12.0,37.41675,-118.44941999999999,106997369,1.0
Frisbee,Flying Saucer Rock > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997400/frisbee,1.0,-1,Boulder,V1,1,12.0,37.41675,-118.44941999999999,106997400,1.0
Yosemite Traverse,Flying Saucer Rock > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114256082/yosemite-traverse,2.0,-1,Boulder,V1,1,,37.41675,-118.44941999999999,114256082,1.0
