,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
10,Unnamed  2,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032780/unnamed-2,2.8,-1,Boulder,V0-,1,18.0,37.328590000000005,-118.57516000000001,84,20,49,168
11,Problem B,Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322572/problem-b,1.8,-1,Boulder,V0-,1,12.0,37.32873,-118.57534,46,15,12,102
12,Hip Hop Hager,Hager Boulder > Iron Man East Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107519098/hip-hop-hager,1.6,-1,Boulder,V0-,1,16.0,37.33014,-118.57777,5,1,2,4
13,Unknown V0/V1,The Loaf > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106442771/unknown-v0v1,1.8,-1,Boulder,V0-,1,12.0,37.330220000000004,-118.57882,8,1,7,28
14,Problem A,Fit Homeless Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106060959/problem-a,1.7,-1,Boulder,V0-,1,,37.32895,-118.57595,26,6,7,67
15,Problem C,Fit Homeless Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106060972/problem-c,1.5,-1,Boulder,V0-,1,,37.32895,-118.57595,21,5,8,48
16,Xenolith Slab,Agent Orange Boulder > Zeppelin Area > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116715297/xenolith-slab,2.0,-1,Boulder,V0-,1,10.0,37.31821,-118.57395,1,1,0,1
17,Knob Slab,Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054760/knob-slab,2.0,-1,Boulder,V0-,1,,37.318290000000005,-118.5863,1,1,1,0
18,Backside Crack,Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108010816/backside-crack,2.3,-1,Boulder,V0,1,20.0,37.3388,-118.5776,31,6,5,35
19,Burned and Bare,Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108880968/burned-and-bare,2.7,-1,Boulder,V0,1,15.0,37.3388,-118.5776,12,3,2,9
20,Original Line,Lidija / Pollen Grain Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108054564/original-line,3.1,-1,Boulder,V0,1,35.0,37.3377,-118.5701,17,6,25,23
21,Vic's Demise,Mead Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111450402/vics-demise,3.0,-1,Boulder,V0 X,1,35.0,37.3378,-118.572,3,2,6,2
22,Essential Peabody,Grandma Peabody Boulder > Peabody Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106395083/essential-peabody,3.1,-1,Boulder,V0,1,40.0,37.32837,-118.57479,63,18,124,84
23,Advanced Rockcraft Arete,Grandpa Peabody Boulder > Peabody Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109526745/advanced-rockcraft-arete,3.5,-1,Boulder,5.8+ V0 X,1,50.0,37.32817,-118.57477,16,6,44,11
24,Problem A,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106277503/problem-a,1.4,-1,Boulder,V0,1,12.0,37.330040000000004,-118.57901000000001,17,3,14,30
25,Birthday Mantel,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106277514/birthday-mantel,2.5,-1,Boulder,V0,1,12.0,37.330040000000004,-118.57901000000001,89,21,79,153
26,Problem B,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106277521/problem-b,2.1,-1,Boulder,V0,1,12.0,37.330040000000004,-118.57901000000001,24,6,16,38
27,Robinson's Rubber Tester,Robinson's Rubber Tester Boulder > Cave Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105936126/robinsons-rubber-tester,3.3,-1,Boulder,V0,1,,37.32867,-118.57681000000001,136,40,178,197
28,Unnamed  3,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032785/unnamed-3,2.5,-1,Boulder,V0,1,18.0,37.328590000000005,-118.57516000000001,16,5,6,40
29,Problem A,Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322566/problem-a,2.0,-1,Boulder,V0,1,15.0,37.32873,-118.57534,41,14,19,74
30,Hager Arete,Hager Boulder > Iron Man East Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105936748/hager-arete,2.6,-1,Boulder,V0,1,15.0,37.33014,-118.57777,25,7,16,43
