,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
104,Fractured Personality,Split Melon Right Boulder > Split Melon Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106996259/fractured-personality,1.6,-1,Boulder,V0,1,,37.41706,-118.45061000000001,5,1,4,7
105,Corner Route,Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106100119/corner-route,3.3,-1,Boulder,V0+,1,18.0,37.41632,-118.44928,109,20,194,192
106,Indicision,Happy Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086113/indicision,1.6,-1,Boulder,V0+,1,15.0,37.41747,-118.45136000000001,17,9,13,27
107,Happy Hooker,"More Water, Less Power Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106130507/happy-hooker,2.1,-1,Boulder,V0+,1,10.0,37.41724,-118.45103,102,33,56,210
108,Carpenters Arete,"More Water, Less Power Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106131955/carpenters-arete,1.5,-1,Boulder,V0+,1,10.0,37.41724,-118.45103,27,10,5,60
109,Any Which Way,"More Water, Less Power Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106131960/any-which-way,1.8,-1,Boulder,V0+,1,10.0,37.41724,-118.45103,46,10,6,95
110,Cross Roads,Heavenly Path Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106093012/cross-roads,2.6,-1,Boulder,V0+,1,25.0,37.41718,-118.45095,62,17,31,106
111,Donkey Boy,Heavenly Path Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106093047/donkey-boy,2.5,-1,Boulder,V0+ PG13,1,18.0,37.41718,-118.45095,70,22,27,150
112,Blue Note Special,Back Walls > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106976711/blue-note-special,3.0,-1,Boulder,V0+,1,12.0,37.41728,-118.45034,1,1,11,3
113,Celebrate the Stars,Secret Arete Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106996359/celebrate-the-stars,2.0,-1,Boulder,V0+,1,,37.417970000000004,-118.45146000000001,1,1,2,2
114,I Want a Guy Who Appreciates Me and Buys Me Nice Underwear!,The Citadel Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106996391/i-want-a-guy-who-appreciates-me-and-buys-me-nice-underwear,-1.0,-1,Boulder,V0+,1,,37.41793,-118.45156999999999,0,1,1,1
