,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
37,Problem C,William The Vollman > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620969/problem-c,1.0,-1,Boulder,V0 PG13,1,20.0,37.30727,-118.4362,1,1,0,0
38,Scoop,Wimmin Cave > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621085/scoop,3.0,-1,Boulder,V0,1,10.0,37.307109999999994,-118.43563,1,1,3,2
39,Jormungand,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032686/jormungand,2.7,-1,Boulder,V0+ R,1,20.0,37.30744,-118.43635,3,4,4,3
40,Celtic Soul Rebel,Erik the Bolder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076678/celtic-soul-rebel,2.0,-1,Boulder,V0+,1,9.0,37.3072,-118.43735,1,1,1,1
41,Antiquities of Cornwall,Slab Boulder > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538842/antiquities-of-cornwall,1.5,-1,Boulder,V0+,1,15.0,37.30753,-118.43633999999999,2,1,0,2
42,Unnamed,Erik the Bolder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076685/unnamed,2.0,-1,Boulder,V0-1,1,8.0,37.3072,-118.43735,1,1,1,0
43,Problem A,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620989/problem-a,2.0,-1,Boulder,V1-,1,12.0,37.307159999999996,-118.43603999999999,1,1,3,2
44,Toxygene,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203693/toxygene,1.5,-1,Boulder,V1,1,,37.306979999999996,-118.43701999999999,18,8,1,19
45,Blood Kin,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032693/blood-kin,3.6,-1,Boulder,V1,1,18.0,37.30744,-118.43635,15,6,40,20
46,Problem A,Golden Child Wall > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108592923/problem-a,1.5,-1,Boulder,V1 PG13,1,16.0,37.30733,-118.4365,2,1,0,2
47,Frey,Odin's Cave > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620684/frey,1.0,-1,Boulder,V1 PG13,1,16.0,37.307359999999996,-118.43648,1,1,0,2
48,Head Butt,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106317426/head-butt,2.9,-1,Boulder,V1,1,,37.30792,-118.43255,16,5,7,26
49,You Can Cry If You Want To,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032732/you-can-cry-if-you-want-to,2.8,-1,Boulder,V1,1,15.0,37.30792,-118.43255,9,4,6,16
50,There Is No Party (Right),Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032743/there-is-no-party-right,2.9,-1,Boulder,V1,1,15.0,37.30792,-118.43255,17,5,7,28
51,Problem A,What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724305/problem-a,1.0,-1,Boulder,V1,1,10.0,37.30782,-118.43311000000001,1,1,0,2
52,Hueco Problem,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731547/hueco-problem,2.0,-1,Boulder,V1,1,12.0,37.30749,-118.43253,1,1,2,2
53,Mister Gorgeous,The Long Ship > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076715/mister-gorgeous,2.0,-1,Boulder,V1 PG13,1,20.0,37.30703,-118.43756,1,1,0,0
54,Gunhild,The Long Ship > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076732/gunhild,2.0,-1,Boulder,V1,1,15.0,37.30703,-118.43756,1,1,0,1
55,Finland,Finland Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593042/finland,2.0,-1,Boulder,V1,1,25.0,37.30761,-118.43721000000001,1,1,1,2
56,Stavros,Kojak Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203702/stavros,1.8,-1,Boulder,V1,1,6.0,37.3071,-118.435,13,2,1,19
57,Problem A,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112348224/problem-a,3.0,-1,Boulder,V1+,1,15.0,37.30792,-118.43255,1,1,2,6
58,Through the Heart,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106126770/through-the-heart,2.1,-1,Boulder,V1-2,1,12.0,37.306979999999996,-118.43701999999999,21,8,3,31
59,On a Whim,Wimmin Cave > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114101179/on-a-whim,2.0,-1,Boulder,V1-2,1,8.0,37.307109999999994,-118.43563,1,1,0,0
60,"Woodman, Woodman...",Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106279116/woodman-woodman,1.5,-1,Boulder,V2 PG13,1,15.0,37.306979999999996,-118.43701999999999,2,1,1,1
61,Trollkind,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114101259/trollkind,1.5,-1,Boulder,V2,1,6.0,37.306979999999996,-118.43701999999999,2,2,1,0
62,Well of Weird,Golden Child Wall > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108592930/well-of-weird,2.0,-1,Boulder,V2,1,16.0,37.30733,-118.4365,2,1,2,5
63,Winter Sun,Ice Flow > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620915/winter-sun,2.5,-1,Boulder,V2,1,12.0,37.307179999999995,-118.43633,2,1,2,3
64,The Ice Shirt,Ice Flow > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620929/the-ice-shirt,1.0,-1,Boulder,V2 PG13,1,15.0,37.307179999999995,-118.43633,1,1,1,2
65,There Is No Party (Left Variation),Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032753/there-is-no-party-left-variation,3.0,-1,Boulder,V2,1,15.0,37.30792,-118.43255,13,4,5,22
66,Pretty In Pink,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032758/pretty-in-pink,3.1,-1,Boulder,V2,1,12.0,37.30792,-118.43255,12,3,6,20
67,On The Edge,Izzy Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724265/on-the-edge,2.0,-1,Boulder,V2,1,15.0,37.30782,-118.43321,1,1,2,2
68,If It's Not Norse It's Scottish,Norse Boulder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538721/if-its-not-norse-its-scottish,2.0,-1,Boulder,V2,1,8.0,37.30705,-118.43773999999999,3,1,1,6
69,Roman Nose,White Man's Overbite Boulder > Skye Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112529664/roman-nose,2.0,-1,Boulder,V2,1,,37.30766,-118.43621999999999,1,1,0,1
70,Able-Bodied Goblin,Goblin Rock > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112529729/able-bodied-goblin,2.2,-1,Boulder,V2,1,8.0,37.30758,-118.4365,10,4,4,12
71,E3 5c,Finlandia Slab Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593029/e3-5c,1.0,-1,Boulder,V2,1,20.0,37.30758,-118.43728,1,1,0,2
72,Problem B,Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593131/problem-b,1.0,-1,Boulder,V2,1,16.0,37.307759999999995,-118.4374,1,1,1,2
73,Problem A,William The Vollman > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620958/problem-a,1.0,-1,Boulder,V2 R,1,20.0,37.30727,-118.4362,1,1,0,0
74,Death Mantel,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621000/death-mantel,1.0,-1,Boulder,V2 PG13,1,10.0,37.307159999999996,-118.43603999999999,1,1,0,2
75,Re-write History,Wave Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621092/re-write-history,1.0,-1,Boulder,V2,1,15.0,37.307109999999994,-118.43541,2,1,0,3
76,Problem A,Kojak Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621120/problem-a,1.0,-1,Boulder,V2,1,,37.3071,-118.435,1,1,0,2
77,Yggdrassil,Golden Child Wall > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108592941/yggdrassil,1.7,-1,Boulder,V2+,1,16.0,37.30733,-118.4365,3,1,3,4
