route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
Vampyros Rheinstor,Shadow Play Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111726310/vampyros-rheinstor,2.3,-1,Boulder,V7,1,,37.41788,-118.45147,111726310,7,3,1,1,1
Grotesque Old Woman,Desert Skies/Morning Dove Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106126749/grotesque-old-woman,2.8,-1,Boulder,V7 PG13,1,15,37.41698,-118.45133,106126749,7,13,5,17,17
Extended Mr. Happy,Toxic Avenger Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/110386694/extended-mr-happy,2,-1,Boulder,V7,1,,37.4161,-118.45012,110386694,7,4,3,2,5
Standing Ovation,Clapper Boulder > Clapper Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107946166/standing-ovation,3.2,-1,Boulder,V7,1,12,37.41533,-118.44877,107946166,7,6,3,17,8
Westward Expansion,Hair Trigger Wall > Frontierland > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106279696/westward-expansion,2.5,-1,Boulder,V7,1,10,37.41549,-118.44928,106279696,7,2,1,1,1
Sabersonic,Sabres of Paradise > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106330645/sabersonic,1.8,-1,Boulder,V7,1,12,37.41569,-118.44957,106330645,7,4,2,2,3
Sabres of Paradise,Sabres of Paradise > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106554767/sabres-of-paradise,3.7,-1,Boulder,V7,1,35,37.41569,-118.44957,106554767,7,3,2,8,1
The Orb,Sabres of Paradise > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112501972/the-orb,1.7,-1,Boulder,V7,1,14,37.41569,-118.44957,112501972,7,3,1,0,2
Hand to Hand Combat Traverse,Hand to Hand Combat Wall > Hand to Hand Combat Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106279731/hand-to-hand-combat-traverse,2.3,-1,Boulder,V7,1,20,37.41588,-118.44993,106279731,7,6,3,12,5
Not Another Brit in Bishop,Hand to Hand Combat Wall > Hand to Hand Combat Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109947791/not-another-brit-in-bishop,2.9,-1,Boulder,V7,1,15,37.41588,-118.44993,109947791,7,9,3,17,11
DB's Top Shelf,Hand to Hand Combat Wall > Hand to Hand Combat Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111725408/dbs-top-shelf,3,-1,Boulder,V7,1,,37.41588,-118.44993,111725408,7,2,1,3,1
Froz,Safe Surfer Boulder > Split Melon Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108730377/froz,2.1,-1,Boulder,V7,1,10,37.417,-118.4509,108730377,7,7,3,9,11
Water Saps,Water Saps Cave > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106095521/water-saps,3.7,-1,Boulder,V7-8,1,18,37.41675,-118.44942,106095521,7.5,6,4,8,6
Morning Dove White,Desert Skies/Morning Dove Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106054174/morning-dove-white,3.7,-1,Boulder,V7-8,1,,37.41698,-118.45133,106054174,7.5,29,16,101,31
Therapy,Toxic Avenger Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106070995/therapy,3.1,-1,Boulder,V7-8,1,15,37.4161,-118.45012,106070995,7.5,8,7,16,7
Highbrow,Highbrow Area > Frontierland > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106068419/highbrow,3.9,-1,Boulder,V7-8 R,1,12,37.4155,-118.44922,106068419,7.75,8,5,39,11
Stroking the Walrus,Sabres of Paradise > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106330637/stroking-the-walrus,1.4,-1,Boulder,V7-8,1,8,37.41569,-118.44957,106330637,7.5,5,4,0,4
