,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
118,Pocket Traverse,Pocket Traverse Boulder > Eastern Rim > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114261208/pocket-traverse,2.0,-1,Boulder,V3-4,1,18.0,37.42068,-118.43348999999999,2,2,0,1
119,Norwegian,Norwegian Blue Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106731677/norwegian,2.4,-1,Boulder,V4-,1,20.0,37.4217,-118.43308,12,8,5,23
120,Professional Widow,Tim's Highball Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106095529/professional-widow,3.9,-1,Boulder,V4-,1,18.0,37.4221,-118.4346,8,6,64,10
121,Cream Horn,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322827/cream-horn,4.0,-1,Boulder,V4,1,18.0,37.422540000000005,-118.43364,3,2,28,2
122,Mothership Connection,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106340978/mothership-connection,3.4,-1,Boulder,V4,1,15.0,37.422540000000005,-118.43364,48,17,149,84
123,Let The Happiness In,Strength in Numbers Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106637311/let-the-happiness-in,2.4,-1,Boulder,V4 PG13,1,15.0,37.42207,-118.43343999999999,8,4,7,13
124,Problem A SDS,Strength in Numbers Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106669645/problem-a-sds,1.0,-1,Boulder,V4,1,12.0,37.42207,-118.43343999999999,1,1,0,2
125,Chewed Out,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108551/chewed-out,2.0,-1,Boulder,V4,1,12.0,37.42075,-118.43391000000001,9,4,6,9
126,Unnamed 4,Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109140342/unnamed-4,2.0,-1,Boulder,V4,1,12.0,37.417590000000004,-118.43276000000002,1,1,0,2
127,Pop-A-Wheelie,Pop-a-Wheelie Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642901/pop-a-wheelie,2.3,-1,Boulder,V4,1,10.0,37.42324,-118.43279,3,3,5,5
128,Local Boy Does Good,Crystal Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642794/local-boy-does-good,2.0,-1,Boulder,V4 PG13,1,18.0,37.42324,-118.43279,1,1,1,2
129,Talk Talk,Talk Talk Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642916/talk-talk,1.5,-1,Boulder,V4,1,10.0,37.42324,-118.43279,2,1,1,3
130,José,Birth of the Cool Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116145279/jose,1.0,-1,Boulder,V4,1,8.0,37.41845,-118.43373999999999,1,1,0,0
131,The Crack Problem,"Crack Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669806/the-crack-problem,2.4,-1,Boulder,V4,1,10.0,37.42232,-118.43364,16,7,7,26
132,Up For The Down Stoke,"The Hot Pants Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669842/up-for-the-down-stoke,1.9,-1,Boulder,V4,1,10.0,37.42232,-118.43364,17,3,2,31
133,Sun Spot Right,Sun Spot Boulder > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106669605/sun-spot-right,2.0,-1,Boulder,V4,1,15.0,37.4211,-118.4335,10,3,3,20
134,Problem B,Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106954467/problem-b,2.0,-1,Boulder,V4,1,10.0,37.417590000000004,-118.43276000000002,1,1,1,2
135,The Fang,The Bird Cage Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106731640/the-fang,3.3,-1,Boulder,V4,1,15.0,37.4217,-118.43308,126,33,171,232
136,Arse La Vista,Parrot Fashion Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106739953/arse-la-vista,0.5,-1,Boulder,V4,1,20.0,37.4217,-118.43308,2,2,0,3
137,Syd Barrett,Parrot Fashion Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106739961/syd-barrett,1.0,-1,Boulder,V4,1,15.0,37.4217,-118.43308,2,2,0,3
138,Spike,Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106739986/spike,1.5,-1,Boulder,V4,1,10.0,37.4217,-118.43308,2,1,0,3
139,Problem C,Mr Frosty Cave > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915423/problem-c,1.0,-1,Boulder,V4 PG13,1,15.0,37.4226,-118.4344,2,1,0,2
140,"Whiskey, Beer and Spliff Hits for Breakfast",Rim Job Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915496/whiskey-beer-and-spliff-hits-for-breakfast,3.5,-1,Boulder,V4,1,12.0,37.4228,-118.4343,40,12,106,57
141,Unsung Gem,Crystal Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642787/unsung-gem,2.0,-1,Boulder,V4+ PG13,1,18.0,37.42324,-118.43279,1,1,2,2
142,Problem A,Prozac Nation Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642848/problem-a,1.5,-1,Boulder,V4+,1,10.0,37.42324,-118.43279,2,1,2,3
143,Molly Dyno,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106617419/molly-dyno,3.0,-1,Boulder,V4-5,1,7.0,37.42075,-118.43391000000001,34,14,26,97
144,Fueled By Hate,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106068472/fueled-by-hate,2.8,-1,Boulder,V5,1,8.0,37.422540000000005,-118.43364,51,18,36,57
145,Chizam,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106079500/chizam,2.7,-1,Boulder,V5,1,12.0,37.422540000000005,-118.43364,68,21,34,121
146,Shaft,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111726269/shaft,2.0,-1,Boulder,V5,1,,37.422540000000005,-118.43364,4,2,1,4
147,Strength in Numbers (Original SIN),Strength in Numbers Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106068943/strength-in-numbers-original-sin,3.9,-1,Boulder,V5,1,18.0,37.42207,-118.43343999999999,110,37,330,144
148,Molly,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106094747/molly,3.4,-1,Boulder,V5,1,13.0,37.42075,-118.43391000000001,137,40,203,213
149,The Snapper,The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642872/the-snapper,3.6,-1,Boulder,V5 PG13,1,18.0,37.42324,-118.43279,5,3,6,12
150,Pencil Dick,Prozac Nation Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642837/pencil-dick,2.0,-1,Boulder,V5,1,10.0,37.42324,-118.43279,5,3,6,9
151,Anti-Hero,Death Star Cave > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106617219/anti-hero,3.2,-1,Boulder,V5,1,15.0,37.42029,-118.43378999999999,53,18,92,67
152,Gotta Be Kidding Me,"Hauck a Loogie Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106637341/gotta-be-kidding-me,1.8,-1,Boulder,V5,1,10.0,37.42232,-118.43364,5,4,1,8
153,Hauck A Loogie - Sit Start,"Hauck a Loogie Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106637372/hauck-a-loogie-sit-start,2.4,-1,Boulder,V5,1,15.0,37.42232,-118.43364,10,5,3,12
154,Chef's Arete,"Chef's Boulder - East Side > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669799/chefs-arete,2.0,-1,Boulder,V5,1,10.0,37.42232,-118.43364,2,2,1,3
155,East Arete,Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106554775/east-arete,3.0,-1,Boulder,V5,1,12.0,37.417590000000004,-118.43276000000002,1,1,3,0
