Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Spinal Snap","Shadow Play Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106331162/spinal-snap,2.8,-1,Boulder,V2,1,15,37.41788,-118.45147
"Spinal Snap Right Start","Shadow Play Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106331168/spinal-snap-right-start,2.6,-1,Boulder,V2,1,15,37.41788,-118.45147
Shaker,"The Citadel Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106996410/shaker,-1.0,-1,Boulder,V2,1,,37.41793,-118.45157
"Take it Like a Man","Take it Like A Man Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106996430/take-it-like-a-man,2.0,-1,Boulder,V2,1,,37.41793,-118.45157
"Each Day We Get Closer to the Big Bad Fire","You Are Mortal Buttress > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106997152/each-day-we-get-closer-to-the-big-bad-fire,-1.0,-1,Boulder,V2,1,,37.41793,-118.45157
Fluke,"Water Saps Cave > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106997357/fluke,1.7,-1,Boulder,V2,1,10,37.41675,-118.44942
"Wicca Warrior","Black Magic Boulder > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106996987/wicca-warrior,2.0,-1,Boulder,"V2 R",1,20,37.41675,-118.44942
Fargo,"Blood Simple Wall > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106997056/fargo,1.5,-1,Boulder,V2,1,18,37.41696,-118.44947
Ballorama,"Flying Saucer Alcove > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106997432/ballorama,1.0,-1,Boulder,V2,1,15,37.41675,-118.44942
Boy,"Marvelous Flake Boulder > Cracks On The Rim Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106977784/boy,2.0,-1,Boulder,V2,1,12,37.41654,-118.44888
"Cheap New Age Fix","Toxic Avenger Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108058276/cheap-new-age-fix,1.8,-1,Boulder,V2,1,10,37.4161,-118.45012
"Sunny Side Up","Toxic Avenger Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/111703821/sunny-side-up,1.7,-1,Boulder,V2,1,6,37.4161,-118.45012
"Needle Across The Groove","Clapper Boulder > Clapper Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106272965/needle-across-the-groove,1.4,-1,Boulder,V2,1,10,37.41533,-118.44877
"Pig Pen","Clapper Boulder > Clapper Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106272971/pig-pen,2.3,-1,Boulder,V2,1,10,37.41533,-118.44877
"Problem C","Pig Pen Slab > Clapper Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106273755/problem-c,2.4,-1,Boulder,V2,1,12,37.41525,-118.44878
"Western Motif","Hair Trigger Wall > Frontierland > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106279685/western-motif,2.6,-1,Boulder,V2,1,12,37.41549,-118.44928
"Problem D","Sabres of Paradise > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107045708/problem-d,2.2,-1,Boulder,V2,1,10,37.41569,-118.44957
"Fluffy Little Clouds","Sabres of Paradise > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108060014/fluffy-little-clouds,2.8,-1,Boulder,V2,1,20,37.41569,-118.44957
Tao,"Powis Boulder > Hand to Hand Combat Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107045645/tao,1.0,-1,Boulder,V2,1,10,37.41588,-118.44985
"Let Them Eat Cake","Baroque Buttress > Hall of Mirrors Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107898143/let-them-eat-cake,2.0,-1,Boulder,V2,1,10,37.41622,-118.45021
