Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Rio's Crack","Rio's Crack Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106340969/rios-crack,3.5,-1,Boulder,V6,1,15,37.42027,-118.434
"French Press","Misery Cave > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106554779/french-press,3.5,-1,Boulder,V6,1,,37.41759,-118.43276
"Bob Parrot Sit","Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106740027/bob-parrot-sit,1.0,-1,Boulder,V6,1,12,37.4217,-118.43308
"Problem A","Mr Frosty Cave > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106915433/problem-a,2.0,-1,Boulder,V6,1,10,37.4226,-118.4344
"Give Me A Rim Job","Rim Job Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106095542/give-me-a-rim-job,3.0,-1,Boulder,V6,1,12,37.4228,-118.4343
"Bruiser Boulder","Bruiser Boulder > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/116069980/bruiser-boulder,3.0,-1,Boulder,V6,1,10,37.41759,-118.43276
"The Extrapolator","The Extrapolator Boulder > Eastern Rim > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114171232/the-extrapolator,3.0,-1,Boulder,"V6-7 PG13",1,16,37.42031,-118.43347
"Mr. Mackey","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322832/mr-mackey,3.2,-1,Boulder,V7,1,10,37.42254,-118.43364
"Come Together","Strength in Numbers Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106087683/come-together,2.8,-1,Boulder,V7,1,20,37.42207,-118.43344
Flawless,"Prozac Nation Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106642826/flawless,2.0,-1,Boulder,V7,1,15,37.42324,-118.43279
"Humpty Dumpty Low","Humpty Dumpty Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106329071/humpty-dumpty-low,2.7,-1,Boulder,V7,1,18,37.41759,-118.43276
Pinball,"Humpty Dumpty Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106329098/pinball,2.0,-1,Boulder,V7,1,20,37.41759,-118.43276
"Lawnmower Man","Los Locos Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106340940/lawnmower-man,3.9,-1,Boulder,V7,1,18,37.41759,-118.43276
