,Route,ID,Avg Stars,Grade,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
144,Patina Slab,106114357,1.4,-1,15.0,34.02837,-116.15889,23,10,9,38
145,Chunkers,106114361,2.3,-1,15.0,34.02837,-116.15889,27,11,33,37
146,Split Lip,106115838,1.0,-1,8.0,34.02837,-116.15889,10,3,3,10
147,Unnamed .7,1099648087,1.6,-0.75,,34.018370000000004,-116.16889,5,4,2,5
148,The Melon Baller,106587770,1.0,-1,10.0,34.02487,-116.18037,2,2,0,2
149,Micro Arete,106356189,1.0,-1,7.0,34.024,-116.1772,2,1,6,4
150,Oak Tree Slab,106355610,1.3,-1,15.0,34.024,-116.1772,6,2,4,7
151,Hemmingway Block,116703751,2.0,-1,10.0,34.024,-116.1772,1,1,0,1
152,Rita,106632923,1.3,-1,15.0,34.0121,-116.1773,3,2,1,3
153,Easy Sailing,106633681,1.0,-1,15.0,34.0121,-116.1773,2,1,0,1
154,Sun is Shining,106633690,1.0,-1,11.0,34.0121,-116.1773,3,1,2,3
155,Mellow Mood,106634457,1.0,-1,15.0,34.0121,-116.1773,1,1,0,0
156,Pinto,106632939,2.0,-1,15.0,34.0121,-116.1773,2,1,3,6
157,Brindle,106632948,1.0,-1,11.0,34.0121,-116.1773,1,1,0,4
158,Footprints,106676750,1.0,-1,12.0,34.0121,-116.1773,2,1,1,3
159,Give Thanx,106676755,2.0,-1,15.0,34.0121,-116.1773,1,1,2,2
160,Hello Sunshine,106676767,1.0,-1,8.0,34.0121,-116.1773,2,1,0,2
161,"Wonderful World, Beautiful People",106676777,1.5,-1,12.0,34.0121,-116.1773,2,1,4,2
162,Humanitarian,106708427,1.0,-1,12.0,34.0121,-116.1773,1,1,3,1
163,Unnamed .7,1066836827,1.0,-1,10.0,34.01592,-116.17844,2,1,1,1
164,Unnamed,106684442,1.0,-1,,34.01592,-116.17844,2,1,1,1
165,Un-named .7,1066844517,1.0,-1,,34.01592,-116.17844,1,1,0,1
166,Mel's Traverse,116558576,2.0,-1,30.0,34.0283,-116.18198999999998,2,1,0,2
167,Pork Rinds,116558587,1.5,-1,,34.0283,-116.18198999999998,2,1,0,2
168,Corned Beef Hash,116558592,2.0,-1,13.0,34.0283,-116.18198999999998,2,1,1,2
169,Chitlins,116558598,2.0,-1,15.0,34.0283,-116.18198999999998,2,1,0,3
170,Blue Plate Special,116558603,1.5,-1,20.0,34.0283,-116.18198999999998,2,1,0,2
171,Hall of Mirrors,106125083,2.6,-1,15.0,34.01038,-116.13573999999998,10,4,39,11
172,Sidekick,106152719,1.6,-1,12.0,34.01038,-116.13573999999998,19,5,12,37
173,Amigo,106340735,1.4,-1,10.0,34.01038,-116.13573999999998,12,3,5,22
174,Lost Lieback,107428302,1.8,-1,15.0,34.01038,-116.13573999999998,5,3,12,5
175,Unnamed,109774156,1.7,-1,8.0,34.01038,-116.13573999999998,3,2,1,5
176,Lazy Day Problem,111289670,2.3,-1,10.0,34.01038,-116.13573999999998,3,2,5,6
177,Easy Flake,106120047,1.4,-0.75,25.0,34.00378,-116.14935,5,1,3,5
178,Blurb,106120176,1.6,-1,15.0,34.00283,-116.15039,10,3,9,18
179,Fish,106120184,1.9,-1,15.0,34.00283,-116.15039,13,3,12,23
180,Euchre,106419009,1.6,-1,15.0,34.00283,-116.15039,8,2,7,16
181,Unnamed .7,1061287217,1.5,-1,10.0,34.02486,-116.1591,15,7,3,25
182,Big Dike,106127484,1.7,-1,18.0,34.0241,-116.1547,6,5,7,9
183,Unnamed Crack,106127805,1.0,-1,12.0,34.0241,-116.1547,3,3,2,3
184,Winky,106129877,1.0,-1,10.0,34.0241,-116.1547,7,4,3,10
185,Blinky,106129880,1.1,-1,10.0,34.0241,-116.1547,7,4,2,9
186,Dinky,106151736,1.0,-1,10.0,34.0241,-116.1547,4,2,2,6
187,East Corner,106128035,1.2,-1,13.0,34.0241,-116.1547,5,3,2,9
188,Candy Buttons,106661377,1.5,-1,10.0,34.0256,-116.1517,2,1,4,2
189,Squirrel Nut Zippers,106661381,1.3,-1,10.0,34.0256,-116.1517,3,1,6,3
190,Necco Wafers,106661388,1.0,-1,10.0,34.0256,-116.1517,3,1,2,4
191,Slap Stix,106661395,1.0,-1,10.0,34.0256,-116.1517,3,1,2,3
192,Mary Jane,106661407,1.0,-1,10.0,34.0256,-116.1517,2,1,3,2
193,The Womb,105724459,1.0,-1,10.0,34.09441,-116.15612,3,1,10,8
194,Pixie Slab Center,106400389,1.3,-1,10.0,34.09441,-116.15612,10,6,12,29
195,Pixie Slab Right,106400396,1.1,-1,10.0,34.09441,-116.15612,8,3,9,24
196,Picnic,106638415,0.7,-1,15.0,34.09303,-116.16352,3,2,6,5
197,Ant Line,106638434,1.0,-1,15.0,34.09303,-116.16352,2,1,6,4
198,South Face Center,106643446,1.4,-1,12.0,34.09303,-116.16352,5,4,8,6
199,Kindling,106643459,1.7,-1,12.0,34.09303,-116.16352,10,4,10,16
200,South Face Right,106643682,1.8,-1,12.0,34.09303,-116.16352,8,3,9,10
201,Fire Dance,106643721,1.2,-1,12.0,34.09303,-116.16352,6,2,6,10
202,Wandering n00b,10665175000,1.0,-1,18.0,34.0942,-116.1545,2,1,4,2
203,Not So High,106651760,1.0,-1,18.0,34.0942,-116.1545,2,1,3,2
204,Feoffee,106648574,1.0,-1,8.0,34.09303,-116.16352,1,1,5,0
205,Callous Crack,108036917,1.0,-1,10.0,34.09303,-116.16352,2,1,5,2
206,Callous Face,108036921,1.0,-1,10.0,34.09303,-116.16352,2,1,4,2
207,East Face Left,106669299,1.0,-1,,34.0933,-116.1585,3,2,5,1
208,East Face Center,106669303,1.0,-1,,34.0933,-116.1585,3,2,3,1
209,East Face Right,106669308,1.0,-1,,34.0933,-116.1585,3,2,4,1
210,Left Arete,107215269,1.0,-1,12.0,34.09705,-116.16531,2,2,15,9
211,North Face,107215275,1.5,-1,14.0,34.09705,-116.16531,2,2,9,3
212,West Face Left,107215288,1.7,-1,12.0,34.09705,-116.16531,3,3,15,10
213,West Face Center,107215296,2.0,-1,12.0,34.09705,-116.16531,3,3,9,10
214,Tenderfoot,107785167,0.0,-1,,34.0933,-116.1585,0,1,3,0
215,Midnite Luvr of TriplXTC,106643953,1.3,-1,10.0,34.0441,-116.1061,3,1,2,2
216,Nizzle,106643957,1.0,-1,12.0,34.0441,-116.1061,2,1,1,1
217,"A Mullet, a 12"" Cord and a V13 Ability",1066439931213,1.0,-1,15.0,34.0441,-116.1061,1,1,1,0
218,Mullet Militia,106644534,1.0,-1,10.0,34.0441,-116.1061,2,1,1,1
219,"Business Up Front, Party in the Back",106644540,1.0,-1,10.0,34.0441,-116.1061,1,1,1,0
220,Camaro Crash Helmet,106644550,1.0,-1,10.0,34.0441,-116.1061,2,1,1,1
221,Toad Sweat,106688241,1.0,-1,8.0,34.046209999999995,-116.10331,1,1,0,0
222,Capsicum,106688254,1.0,-1,10.0,34.046209999999995,-116.10331,1,1,0,0
223,Possible Side Effects,106688308,1.0,-1,10.0,34.046209999999995,-116.10331,1,1,0,0
224,Raw Heat,106688348,2.0,-1,14.0,34.046209999999995,-116.10331,1,1,4,0
225,Crazy Mother Pucker,106688358,1.0,-1,14.0,34.046209999999995,-116.10331,1,1,0,0
226,Beaver Hunt,106684405,2.0,-1,,34.0441,-116.1061,1,1,2,0
227,Pornography,106684502,1.0,-1,17.0,34.0441,-116.1061,1,1,2,0
228,Knob Arete,106681778,1.0,-1,18.0,34.0403,-116.0942,2,2,2,0
229,Easy Ice is Nice,106708991,1.0,-1,11.0,34.033,-116.1721,3,2,0,1
230,Lounge Music,106713828,1.0,-1,12.0,34.033,-116.1721,1,1,1,1
231,Smush Smush,107469976,2.0,-1,,34.1194,-116.1185,2,1,11,2
232,Introduction to Rock Climbing,116714199,1.0,-1,15.0,34.07323,-116.38682,1,1,0,0
233,L. Ron Hubbards Stack of Rocks,116714226,1.0,-1,15.0,34.07323,-116.38682,1,1,0,0
234,Sweetielicious,106649385,2.3,-0.25,18.0,33.998020000000004,-116.15351,36,8,47,85
235,Unnamed 5.9,11618787059,1.0,-0.25,,33.99662,-116.15592,2,2,0,1
236,Tall Cans in the Air,106655062,1.0,-0.25,10.0,33.9966,-116.1554,1,1,1,0
237,South Arete,105725530,2.3,-0.25,20.0,33.9877,-116.1613,3,2,9,4
238,Gram Parsons Memorial Hand Traverse,105725212,2.5,-0.25,25.0,33.98932,-116.16342,11,4,31,16
239,The Ayatollah of Rock and Rolla,106047155,1.0,-0.25,20.0,33.98932,-116.16342,1,1,4,1
240,J.B. Supreme,106465612,2.0,-0.25,12.0,34.014309999999995,-116.17112,3,2,4,4
241,Hop Wallop,106625540,2.0,-0.25,10.0,34.014309999999995,-116.17112,2,2,9,6
242,Right Arete,106118465,2.3,-0.25,18.0,34.0099,-116.16866,31,8,41,42
243,Sprinting Jew,106118150,1.0,-0.25,12.0,34.01126,-116.16755,2,2,6,7
244,West Arete,106117043,1.9,-0.25,20.0,34.00987,-116.16843,11,3,13,16
245,The Sarsen Stone,113787416,2.0,-0.25,,34.01077,-116.16841,1,1,3,3
246,Right Arete,105908389,1.5,-0.25,15.0,34.01428,-116.15827,43,13,19,96
247,Thingamajig,105933364,2.2,-0.25,16.0,34.01428,-116.15827,65,16,124,152
248,Little Big Horn,106115359,1.5,-0.25,10.0,34.013459999999995,-116.15442,12,6,9,20
249,Sun Dance,106277672,1.5,-0.25,15.0,34.013459999999995,-116.15442,4,1,8,4
250,Matatoro,106275812,1.0,-0.25,20.0,34.013459999999995,-116.15442,1,1,4,1
251,Sweet Surprise,106292561,1.0,-0.25,15.0,34.14302,-116.31326,2,1,7,1
252,Triangle Boulder South Face,106463905,1.3,-0.25,15.0,34.0184,-116.16365,4,1,6,7
253,The Clutch,106044809,1.4,-0.25,15.0,34.0202,-116.165,15,3,4,42
254,Largotot,106048475,1.0,-0.25,10.0,34.0202,-116.165,1,1,0,0
255,Trout Chow,105725482,2.0,-0.25,10.0,34.0202,-116.165,15,3,9,32
256,Riff Raff,106121868,1.7,-0.25,12.0,33.984140000000004,-116.1525,26,7,12,40
257,Tush,105789824,1.7,-0.25,12.0,34.06265,-116.22634,19,9,7,31
258,Happy Feet,109989792,1.0,-0.25,12.0,34.06021,-116.22437,1,1,6,3
259,Don't Puss,105790170,1.4,-0.25,18.0,34.0752,-116.242,7,3,4,7
260,Embryonic Journey,106622290,1.0,-0.25,10.0,34.0808,-116.2462,1,1,1,0
261,Blip Trip,106069391,1.0,-0.25,15.0,34.0808,-116.2462,2,1,0,1
262,Dragonhead,106654146,1.0,-0.25,10.0,34.0808,-116.2462,1,1,2,0
263,The Church of the Jack Lord,106112272,1.3,-0.25,20.0,34.0398,-116.1943,3,1,3,2
264,Ramp Line,110049272,1.0,-0.25,20.0,34.08392,-116.23255,1,1,0,2
265,3-Star Lieback,1143387833,3.0,-0.25,25.0,33.955220000000004,-116.09084,3,2,5,4
266,Old Chub,106491416,2.0,-0.25,12.0,33.9512,-116.0768,1,1,3,1
267,Affluenza,106640355,1.0,-0.25,15.0,33.9512,-116.0768,1,1,3,0
268,Leftward Ho,106360133,2.0,-0.25,20.0,33.9454,-116.077,1,1,6,1
269,Premium Miniature,106667553,2.0,-0.25,8.0,33.9454,-116.077,1,1,3,0
270,Dorian Gray,108053649,1.0,-0.25,15.0,33.9962,-116.15,2,1,1,1
271,Split Grain,106274085,1.5,-0.25,15.0,33.9962,-116.15,2,2,2,3
272,Mushroom Problem,106159860,1.7,-0.25,12.0,33.9962,-116.15,7,4,5,9
273,Friction 100,106345819100,1.1,-0.25,10.0,34.0285,-116.1451,16,8,9,26
274,Junior Right - SDS,106345786,1.5,-0.25,13.0,34.0263,-116.1415,2,2,3,2
275,Chicken Wing,106392614,2.0,-0.25,20.0,34.0263,-116.1415,2,2,10,5
276,Fat Lip Left hand,106345872,1.5,-0.25,10.0,34.0263,-116.1415,2,2,4,2
277,Penny Pincher,105725455,1.5,-0.25,12.0,34.0148,-116.16539,28,13,13,39
278,False Up 20,10572546120,3.5,-0.25,20.0,34.0148,-116.16539,109,29,397,144
279,The Garden of Eden,106356180,1.2,-0.25,12.0,34.024,-116.1772,5,1,6,7
280,Lost Generation,106356194,2.5,-0.25,15.0,34.024,-116.1772,11,4,19,18
281,Give Thanks and Praises,106634467,1.0,-0.25,15.0,34.0121,-116.1773,1,1,0,1
282,Jump Nyabinghi,106634484,1.5,-0.25,15.0,34.0121,-116.1773,2,1,1,1
283,Sorrel,106632953,1.0,-0.25,15.0,34.0121,-116.1773,1,1,0,3
284,Bandulo,108036842,1.0,-0.25,12.0,34.0121,-116.1773,1,1,0,0
285,Ministry of Truth,106340716,1.0,-0.25,22.0,34.01038,-116.13573999999998,1,1,2,1
286,Canasta,106419021,1.3,-0.25,10.0,34.00283,-116.15039,10,4,7,23
287,Simpleton Arete,106417337,2.1,-0.25,15.0,34.00246,-116.1498,8,2,6,13
288,Arete Boulders Crack,106150424,2.1,-0.25,10.0,34.02486,-116.1591,19,11,8,34
289,Backscratcher,106150435,1.6,-0.25,10.0,34.0241,-116.1547,5,4,3,7
290,Pixie Slab Left,106400401,1.2,-0.25,10.0,34.09441,-116.15612,10,5,9,27
291,Traverse Reverse Traverse,116254146,3.0,-0.25,,34.09441,-116.15612,1,1,1,4
292,South Face Left,106643688,1.5,-0.25,12.0,34.09303,-116.16352,4,2,8,5
293,West Face Right,107215304,1.0,-0.25,12.0,34.09705,-116.16531,3,3,9,7
294,Lox of Fun,106645499,1.0,-0.25,10.0,34.0441,-116.1061,1,1,0,0
295,Downtime,106686417,1.0,-0.25,10.0,34.046209999999995,-116.10331,1,1,0,0
296,Frosty's Demise,106688333,1.0,-0.25,15.0,34.046209999999995,-116.10331,1,1,0,0
297,unknown4,1140111004,1.0,-0.25,15.0,34.01823,-116.0737,1,1,1,2
298,Kinematics,116714315,1.0,-0.25,5.0,34.07323,-116.38682,1,1,0,0
299,Illicit Sweetie,105798054,3.1,0,18.0,33.998020000000004,-116.15351,102,22,331,197
300,Satisfactory Slab,105798080,1.0,0.25,20.0,33.99638,-116.15553,3,2,8,2
301,Mantle Mentality,106666843,1.0,0,13.0,33.99638,-116.15553,1,1,11,0
302,Lucky Strike,116187232,2.0,0,,33.99662,-116.15592,1,1,0,2
303,Sawzall Arete,106642095,1.0,0,12.0,33.9966,-116.1554,1,1,9,0
304,Kids of the Black Hole,106670128,1.5,0,12.0,33.9966,-116.1554,2,1,17,1
305,Ten Gallon,105725566,1.5,0,10.0,33.98932,-116.16342,10,6,8,11
306,Capuchon,106567996,2.0,0,12.0,33.98932,-116.16342,3,2,8,3
307,Young Dong,114269622,2.8,0,12.0,33.98932,-116.16342,5,2,26,4
