log_star_ratings,log_ticks,log_avg_stars,log_length,log_grade,log_on_to_do_lists,sqrt_star_ratings,sqrt_ticks,sqrt_avg_stars,sqrt_length,sqrt_grade
0.602059991327962,0.845098040014257,0.230448921378274,0.954242509439325,0,0.477121254719662,1.73205080756888,2.44948974278318,0.836660026534076,2.82842712474619,0
1.32221929473392,1.70757017609794,0.431363764158987,1.20411998265592,0,0.903089986991943,4.47213595499958,7.07106781186548,1.30384048104053,3.87298334620742,0
1.43136376415899,1.7160033436348,0.380211241711606,1.11394335230684,0,0.698970004336019,5.09901951359278,7.14142842854285,1.18321595661992,3.46410161513775,0
1.47712125471966,1.81954393554187,0.491361693834273,1.32221929473392,0,1.07918124604762,5.3851648071345,8.06225774829855,1.44913767461894,4.47213595499958,0
1.97772360528885,2.34044411484012,0.491361693834273,1.20411998265592,0,1.75587485567249,9.69535971483266,14.7648230602334,1.44913767461894,3.87298334620742,0
0.301029995663981,0.602059991327962,0.301029995663981,1.11394335230684,0,0,1,1.73205080756888,1,3.46410161513775,0
0.602059991327962,0.778151250383644,0.431363764158987,1.11394335230684,0,0.602059991327962,1.73205080756888,2.23606797749979,1.30384048104053,3.46410161513775,0
0.778151250383644,1.20411998265592,0.380211241711606,1.04139268515823,0,0.477121254719662,2.23606797749979,3.87298334620742,1.18321595661992,3.16227766016838,0
1.61278385671974,1.88649072517248,0.431363764158987,1.04139268515823,0,1,6.32455532033676,8.71779788708135,1.30384048104053,3.16227766016838,0
0.903089986991943,1.11394335230684,0.278753600952829,,0,0,2.64575131106459,3.46410161513775,0.948683298050514,,0
0.845098040014257,1,0.431363764158987,1.20411998265592,0.243038048686294,0.778151250383644,2.44948974278318,3,1.30384048104053,3.87298334620742,0.866025403784439
0.845098040014257,1.04139268515823,0.342422680822206,1.20411998265592,0.243038048686294,0.845098040014257,2.44948974278318,3.16227766016838,1.09544511501033,3.87298334620742,0.866025403784439
0.903089986991943,1.14612803567824,0.491361693834273,1.04139268515823,0.243038048686294,0.903089986991943,2.64575131106459,3.60555127546399,1.44913767461894,3.16227766016838,0.866025403784439
0.602059991327962,0.903089986991943,0.301029995663981,1.04139268515823,0.243038048686294,0.602059991327962,1.73205080756888,2.64575131106459,1,3.16227766016838,0.866025403784439
1.11394335230684,1.39794000867204,0.462397997898956,1.20411998265592,0.243038048686294,1.07918124604762,3.46410161513775,4.89897948556636,1.37840487520902,3.87298334620742,0.866025403784439
2.3384564936046,2.62531245096167,0.602059991327962,1.41497334797082,0.243038048686294,1.90848501887865,14.7309198626562,20.5182845286832,1.73205080756888,5,0.866025403784439
0.301029995663981,0.477121254719662,0.477121254719662,1.20411998265592,0.243038048686294,0.301029995663981,1,1.4142135623731,1.4142135623731,3.87298334620742,0.866025403784439
0.301029995663981,0.477121254719662,0.301029995663981,1.11394335230684,0.243038048686294,0,1,1.4142135623731,1,3.46410161513775,0.866025403784439
0.301029995663981,0.477121254719662,0.301029995663981,1.11394335230684,0.243038048686294,0,1,1.4142135623731,1,3.46410161513775,0.866025403784439
1.11394335230684,1.38021124171161,0.342422680822206,1.20411998265592,0.243038048686294,0.698970004336019,3.46410161513775,4.79583152331272,1.09544511501033,3.87298334620742,0.866025403784439
0,0.477121254719662,0,,0.243038048686294,0,0,1.4142135623731,0,,0.866025403784439
0,0.301029995663981,0,,0.243038048686294,0,0,1,0,,0.866025403784439
0.698970004336019,0.845098040014257,0.447158031342219,1.32221929473392,0.243038048686294,0.301029995663981,2,2.44948974278318,1.34164078649987,4.47213595499958,0.866025403784439
0.301029995663981,0.602059991327962,0.477121254719662,1.04139268515823,0.243038048686294,0,1,1.73205080756888,1.4142135623731,3.16227766016838,0.866025403784439
1.17609125905568,1.39794000867204,0.491361693834273,1.11394335230684,0.243038048686294,0.477121254719662,3.74165738677394,4.89897948556636,1.44913767461894,3.46410161513775,0.866025403784439
1.11394335230684,1.41497334797082,0.57978359661681,1.20411998265592,0.243038048686294,1.11394335230684,3.46410161513775,5,1.67332005306815,3.87298334620742,0.866025403784439
0.698970004336019,0.954242509439325,0.301029995663981,1.20411998265592,0.243038048686294,0,2,2.82842712474619,1,3.87298334620742,0.866025403784439
0.602059991327962,0.954242509439325,0.361727836017593,1.27875360095283,0.243038048686294,0.301029995663981,1.73205080756888,2.82842712474619,1.14017542509914,4.24264068711929,0.866025403784439
0.698970004336019,1.07918124604762,0.397940008672038,1.04139268515823,0.243038048686294,0.477121254719662,2,3.3166247903554,1.22474487139159,3.16227766016838,0.866025403784439
0.698970004336019,1.14612803567824,0.361727836017593,1.04139268515823,0.243038048686294,0.477121254719662,2,3.60555127546399,1.14017542509914,3.16227766016838,0.866025403784439
0.602059991327962,1,0.361727836017593,1.04139268515823,0.243038048686294,0.477121254719662,1.73205080756888,3,1.14017542509914,3.16227766016838,0.866025403784439
0.778151250383644,1.14612803567824,0.414973347970818,1.04139268515823,0.243038048686294,0.477121254719662,2.23606797749979,3.60555127546399,1.26491106406735,3.16227766016838,0.866025403784439
0.477121254719662,0.698970004336019,0.301029995663981,1.11394335230684,0.243038048686294,0.301029995663981,1.4142135623731,2,1,3.46410161513775,0.866025403784439
0.477121254719662,0.602059991327962,0.397940008672038,,0.243038048686294,0,1.4142135623731,1.73205080756888,1.22474487139159,,0.866025403784439
0,0.301029995663981,0,,0.243038048686294,0.301029995663981,0,1,0,,0.866025403784439
0.477121254719662,0.845098040014257,0.301029995663981,,0.243038048686294,0.477121254719662,1.4142135623731,2.44948974278318,1,,0.866025403784439
