route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade
Problem A,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203708/problem-a,1.6,-1,Boulder,V-easy,1,,37.306979999999996,-118.43701999999999,107203708,-1.0
Problem B,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203712/problem-b,1.6,-1,Boulder,V-easy,1,,37.306979999999996,-118.43701999999999,107203712,-1.0
Tribal Wisdom,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032674/tribal-wisdom,2.0,-1,Boulder,V-easy R,1,20.0,37.30744,-118.43635,107032674,-0.75
Downclimb,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593006/downclimb,2.0,-1,Boulder,V-easy,1,18.0,37.30744,-118.43635,108593006,-1.0
Quadraphenia,Morning Glory Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724224/quadraphenia,2.0,-1,Boulder,V-easy,1,25.0,37.30808,-118.43306000000001,109724224,-1.0
Problem C,What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724323/problem-c,2.0,-1,Boulder,V-easy,1,12.0,37.30782,-118.43311000000001,109724323,-1.0
Problem D,What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724415/problem-d,2.0,-1,Boulder,V-easy,1,12.0,37.30782,-118.43311000000001,109724415,-1.0
Problem A,Outer Banks Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724456/problem-a,1.0,-1,Boulder,V-easy,1,10.0,37.30774,-118.43238000000001,109724456,-1.0
Problem B,Leaning Tower Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724474/problem-b,1.0,-1,Boulder,V-easy,1,10.0,37.30769,-118.43245,109724474,-1.0
Problem B,Patina Slab > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724493/problem-b,1.0,-1,Boulder,V-easy,1,10.0,37.30754,-118.43258,109724493,-1.0
Scales,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731502/scales,2.0,-1,Boulder,V-easy,1,,37.30749,-118.43253,109731502,-1.0
The Eyes,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731518/the-eyes,3.0,-1,Boulder,V-easy,1,12.0,37.30749,-118.43253,109731518,-1.0
Problem B,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731525/problem-b,2.0,-1,Boulder,V-easy,1,10.0,37.30749,-118.43253,109731525,-1.0
Lip Traverse,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731541/lip-traverse,2.0,-1,Boulder,V-easy,1,15.0,37.30749,-118.43253,109731541,-1.0
Norse Crack,Norse Boulder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538714/norse-crack,1.0,-1,Boulder,V-easy,1,10.0,37.30705,-118.43773999999999,108538714,-1.0
Problem A,Norse Boulder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112792995/problem-a,1.0,-1,Boulder,V-easy,1,8.0,37.30705,-118.43773999999999,112792995,-1.0
Galar,Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593116/galar,2.0,-1,Boulder,V-easy,1,16.0,37.307759999999995,-118.4374,108593116,-1.0
Problem C,Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593139/problem-c,1.0,-1,Boulder,V-easy PG13,1,20.0,37.307759999999995,-118.4374,108593139,-1.0
Goi,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620978/goi,2.0,-1,Boulder,V-easy,1,15.0,37.307159999999996,-118.43603999999999,108620978,-1.0
Frilla,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620984/frilla,1.0,-1,Boulder,V-easy,1,12.0,37.307159999999996,-118.43603999999999,108620984,-1.0
Problem B,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620995/problem-b,1.0,-1,Boulder,V-easy,1,12.0,37.307159999999996,-118.43603999999999,108620995,-1.0
Everlasting Soul,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108592991/everlasting-soul,2.0,-1,Boulder,V0- R,1,20.0,37.30744,-118.43635,108592991,-0.25
Problem A,Leaning Tower Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724468/problem-a,1.0,-1,Boulder,V0-,1,10.0,37.30769,-118.43245,109724468,-0.25
Problem A,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731467/problem-a,1.0,-1,Boulder,V0-,1,10.0,37.30749,-118.43253,109731467,-0.25
Dermatitis,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731485/dermatitis,2.0,-1,Boulder,V0-,1,12.0,37.30749,-118.43253,109731485,-0.25
Erik Bloody Axe,The Long Ship > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107530064/erik-bloody-axe,1.0,-1,Boulder,V0-,1,15.0,37.30703,-118.43756,107530064,-0.25
Problem A,Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593124/problem-a,1.0,-1,Boulder,V0-,1,16.0,37.307759999999995,-118.4374,108593124,-0.25
Wicca Tower,Wicca Tower > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107530006/wicca-tower,2.0,-1,Boulder,V0-,1,20.0,37.3076,-118.43503,107530006,-0.25
Sun Circle,Ice Flow > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620905/sun-circle,2.0,-1,Boulder,V0,1,18.0,37.307179999999995,-118.43633,108620905,0.0
Mothers of Perpetual Indulgence,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724177/mothers-of-perpetual-indulgence,2.6,-1,Boulder,V0,1,12.0,37.30792,-118.43255,109724177,0.0
Erect,Morning Glory Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724237/erect,2.5,-1,Boulder,V0,1,15.0,37.30808,-118.43306000000001,109724237,0.0
Problem B,What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724315/problem-b,2.0,-1,Boulder,V0,1,,37.30782,-118.43311000000001,109724315,0.0
Problem A,Patina Slab > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724486/problem-a,2.0,-1,Boulder,V0,1,10.0,37.30754,-118.43258,109724486,0.0
Psoriasis,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731479/psoriasis,2.0,-1,Boulder,V0,1,12.0,37.30749,-118.43253,109731479,0.0
Erik the Bolder,Erik the Bolder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076668/erik-the-bolder,2.0,-1,Boulder,V0,1,8.0,37.3072,-118.43735,114076668,0.0
The Vibe,Goblin Rock > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538917/the-vibe,1.8,-1,Boulder,V0,1,10.0,37.30758,-118.4365,108538917,0.0
Problem B,William The Vollman > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620964/problem-b,1.0,-1,Boulder,V0 PG13,1,20.0,37.30727,-118.4362,108620964,0.0
Problem C,William The Vollman > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620969/problem-c,1.0,-1,Boulder,V0 PG13,1,20.0,37.30727,-118.4362,108620969,0.0
Scoop,Wimmin Cave > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621085/scoop,3.0,-1,Boulder,V0,1,10.0,37.307109999999994,-118.43563,108621085,0.0
Jormungand,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032686/jormungand,2.7,-1,Boulder,V0+ R,1,20.0,37.30744,-118.43635,107032686,0.5
Celtic Soul Rebel,Erik the Bolder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076678/celtic-soul-rebel,2.0,-1,Boulder,V0+,1,9.0,37.3072,-118.43735,114076678,0.25
Antiquities of Cornwall,Slab Boulder > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538842/antiquities-of-cornwall,1.5,-1,Boulder,V0+,1,15.0,37.30753,-118.43633999999999,108538842,0.25
Unnamed,Erik the Bolder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076685/unnamed,2.0,-1,Boulder,V0-1,1,8.0,37.3072,-118.43735,114076685,0.5
