star_ratings,suggested_ratings,on_to_do_lists,ticks
3,2,0,6
4,2,2,4
2,1,0,1
57,32,96,79
209,67,408,327
54,25,78,64
3,2,0,2
9,6,3,9
5,3,0,4
1,1,1,0
52,19,294,68
1,1,0,0
4,2,6,2
98,39,137,163
91,27,265,148
5,4,3,4
2,1,0,0
64,23,58,87
14,5,3,13
1,1,0,0
3,1,5,2
26,7,70,59
2,1,2,2
2,2,1,0
4,1,6,3
5,2,4,7
1,1,1,0
1,1,2,0
2,2,4,1
1,1,0,0
1,1,0,0
21,8,28,23
2,1,0,1
4,2,2,3
47,26,88,66
69,20,81,135
2,2,1,2
3,2,1,2
17,9,46,23
3,1,1,1
13,5,17,17
4,3,2,5
6,3,17,8
2,1,1,1
4,2,2,3
3,2,8,1
3,1,0,2
6,3,12,5
9,3,17,11
2,1,3,1
7,3,9,11
6,4,8,6
29,16,101,31
8,7,16,7
8,5,39,11
5,4,0,4
9,8,10,8
3,2,5,3
8,3,3,10
27,16,76,33
3,2,12,1
2,1,3,3
7,3,13,5
2,2,1,1
1,1,1,2
1,1,0,2
4,3,3,4
17,7,16,28
27,11,47,39
2,1,9,1
3,2,4,2
1,2,4,0
8,4,13,7
2,1,4,3
3,2,1,2
4,2,9,4
3,2,1,0
6,4,10,6
2,1,2,2
12,8,27,14
2,1,1,1
27,15,52,43
6,3,12,4
5,3,6,7
5,3,13,5
7,6,27,8
4,1,6,2
8,6,13,11
1,1,0,0
4,2,4,4
1,1,0,0
2,1,3,1
4,3,23,6
1,1,6,1
3,1,3,3
2,1,5,1
2,1,4,1
2,1,5,1
