star_ratings,suggested_ratings,on_to_do_lists,ticks
5,3,2,8
35,11,7,57
8,4,4,13
1,1,3,0
4,4,3,7
1,1,1,1
1,1,0,0
2,1,4,3
2,1,4,2
1,1,5,2
2,1,5,4
11,4,8,24
2,1,13,2
37,16,65,54
2,1,5,2
12,4,32,15
8,3,4,12
2,1,3,3
4,3,2,3
6,2,6,6
6,4,6,9
6,3,18,10
10,6,28,32
2,2,11,1
0,1,10,0
7,6,19,13
0,1,8,0
0,1,5,0
0,1,8,0
0,1,5,0
0,1,4,0
0,1,6,0
1,2,7,1
1,2,5,1
0,1,6,0
1,2,6,1
1,2,10,1
0,1,4,1
1,2,10,1
0,1,5,0
0,1,4,0
1,1,7,0
1,1,4,0
2,2,2,0
2,2,3,0
1,1,3,0
0,1,2,0
0,1,3,0
0,1,4,0
2,2,18,1
7,3,6,7
1,1,8,1
1,1,5,1
1,1,3,2
1,1,4,1
1,1,4,2
1,1,0,0
9,4,42,25
3,2,5,3
1,1,2,0
1,1,2,1
9,2,17,39
2,2,8,1
5,4,10,9
12,7,23,16
3,1,5,4
2,1,12,3
23,9,63,35
75,25,186,151
45,17,36,72
19,7,23,36
1,1,18,2
9,2,15,22
8,3,4,18
1,1,1,0
15,10,7,24
1,1,4,3
2,2,4,3
1,1,2,0
1,1,8,2
1,1,7,1
3,2,6,2
9,2,11,15
3,2,9,1
11,4,10,22
10,5,2,18
5,2,8,6
4,1,8,4
1,1,1,1
1,1,3,2
4,3,1,4
2,1,2,1
8,5,5,13
1,1,2,1
1,1,6,1
1,1,3,0
1,1,0,0
15,8,6,19
2,2,6,0
1,1,2,0
2,2,6,2
1,1,12,1
1,1,4,0
44,13,112,66
15,6,67,19
1,1,3,1
9,2,13,15
2,2,2,2
4,2,9,9
2,1,2,1
1,1,2,0
11,3,7,15
1,1,17,0
2,2,1,3
1,1,1,0
48,25,69,107
25,5,61,42
5,4,74,6
11,6,10,21
29,12,34,53
44,10,60,106
8,6,17,6
1,1,4,1
1,1,5,1
3,2,7,6
2,1,12,0
2,1,15,0
32,12,103,50
3,2,9,1
2,1,5,0
10,2,33,11
15,9,41,20
11,6,62,11
17,8,36,19
78,15,152,135
19,7,9,36
16,5,3,38
124,33,203,232
6,3,17,12
19,8,7,45
23,7,12,53
1,1,2,1
4,4,6,5
6,2,0,5
1,1,1,0
57,12,54,80
5,3,4,5
15,5,17,29
5,5,2,8
11,7,8,17
8,6,7,9
1,1,1,2
2,1,1,2
1,1,2,0
4,2,5,4
1,1,15,0
6,2,6,7
3,1,5,2
2,2,5,4
1,1,4,0
5,2,5,6
1,2,0,1
1,1,1,0
1,1,7,0
2,2,3,1
1,1,5,0
3,2,18,4
12,3,8,21
2,2,2,2
33,8,52,40
8,3,12,13
1,1,1,0
3,2,6,1
2,1,4,1
12,7,31,31
3,3,5,3
2,2,3,2
2,2,5,3
2,2,24,6
2,2,8,2
1,1,5,1
4,4,6,5
34,15,19,77
39,12,20,57
27,12,9,43
10,3,4,13
6,3,2,5
6,3,3,4
3,2,0,3
4,2,1,4
2,2,0,0
2,1,3,3
4,3,11,6
3,1,1,5
3,2,2,2
1,1,0,2
1,1,0,2
1,1,0,0
2,2,15,4
7,2,11,7
14,4,6,20
1,1,3,1
16,7,8,27
10,5,62,10
7,4,6,14
3,2,5,4
13,7,49,26
4,4,6,15
1,1,9,1
5,3,19,5
4,2,17,2
3,1,10,2
1,1,3,1
2,2,2,3
2,1,6,1
1,1,6,0
0,1,1,0
0,1,3,0
2,2,2,0
2,2,2,1
2,2,3,2
1,1,8,1
1,1,2,0
1,1,6,0
1,1,2,1
40,13,29,69
1,1,3,3
12,4,7,19
3,1,3,3
1,1,0,1
10,1,6,16
21,8,13,50
1,1,2,0
7,5,3,10
2,1,1,2
1,1,1,2
1,1,3,0
1,1,3,0
1,1,3,0
0,1,2,0
7,5,28,14
1,1,0,1
2,2,5,2
1,1,7,0
1,1,2,2
0,1,2,0
7,7,27,12
1,1,1,0
0,1,5,0
10,2,20,10
8,2,45,10
2,1,2,2
1,1,3,0
4,2,19,5
