route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade
Birthday Mantel,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106277514/birthday-mantel,2.5,-1,Boulder,V0,1,12.0,37.330040000000004,-118.57901000000001,106277514,0.0
Problem B,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106277521/problem-b,2.1,-1,Boulder,V0,1,12.0,37.330040000000004,-118.57901000000001,106277521,0.0
Robinson's Rubber Tester,Robinson's Rubber Tester Boulder > Cave Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105936126/robinsons-rubber-tester,3.3,-1,Boulder,V0,1,,37.32867,-118.57681000000001,105936126,0.0
Unnamed  3,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032785/unnamed-3,2.5,-1,Boulder,V0,1,18.0,37.328590000000005,-118.57516000000001,107032785,0.0
Problem A,Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322566/problem-a,2.0,-1,Boulder,V0,1,15.0,37.32873,-118.57534,106322566,0.0
Hager Arete,Hager Boulder > Iron Man East Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105936748/hager-arete,2.6,-1,Boulder,V0,1,15.0,37.33014,-118.57777,105936748,0.0
Unnamed Arete,Hager Boulder > Iron Man East Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105936754/unnamed-arete,1.7,-1,Boulder,V0,1,20.0,37.33014,-118.57777,105936754,0.0
Unnmed,Hager Boulder > Iron Man East Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111731481/unnmed,1.9,-1,Boulder,V0,1,15.0,37.33014,-118.57777,111731481,0.0
Hero Roof,Hero  Roof Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106094805/hero-roof,3.4,-1,Boulder,V0,1,14.0,37.33,-118.5782,106094805,0.0
Problem D,Ranger Rock > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105936776/problem-d,1.9,-1,Boulder,V0,1,,37.329640000000005,-118.57869,105936776,0.0
Problem G,Ranger Rock > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105936802/problem-g,1.6,-1,Boulder,V0,1,,37.329640000000005,-118.57869,105936802,0.0
Problem H,Ranger Rock > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106060929/problem-h,1.4,-1,Boulder,V0,1,,37.329640000000005,-118.57869,106060929,0.0
Tall Edgy,Saigon Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/115681932/tall-edgy,2.5,-1,Boulder,V0,1,24.0,37.329440000000005,-118.57548,115681932,0.0
Five and Dime Left,Stained Glass/Flyboy Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107204109/five-and-dime-left,1.1,-1,Boulder,V0,1,,37.33057,-118.57834,107204109,0.0
Five and Dime Right,Stained Glass/Flyboy Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107204124/five-and-dime-right,1.0,-1,Boulder,V0,1,,37.33057,-118.57834,107204124,0.0
Northwest Flake,Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322549/northwest-flake,2.1,-1,Boulder,V0,1,12.0,37.329,-118.5773,106322549,0.0
Howard Carter,Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107983686/howard-carter,1.7,-1,Boulder,V0,1,,37.329,-118.5773,107983686,0.0
Egypt (crack),Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/110802913/egypt-crack,1.4,-1,Boulder,V0,1,,37.329,-118.5773,110802913,0.0
Problem B,Fit Homeless Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106060967/problem-b,1.5,-1,Boulder,V0,1,,37.32895,-118.57595,106060967,0.0
Problem D,Fit Homeless Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106060977/problem-d,1.4,-1,Boulder,V0,1,,37.32895,-118.57595,106060977,0.0
Unnamed Slab/Arete,Buttermilk Stem Boulder > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106130723/unnamed-slabarete,2.5,-1,Boulder,V0,1,18.0,37.32906,-118.5768,106130723,0.0
Problem C,Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106336055/problem-c,2.4,-1,Boulder,V0,1,25.0,37.32878,-118.57687,106336055,0.0
Left Facing Arete,Corner Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114316077/left-facing-arete,2.5,-1,Boulder,V0,1,12.0,37.32909,-118.57791,114316077,0.0
Unnamed V0,Boy and Girl Rocks > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106442728/unnamed-v0,2.4,-1,Boulder,V0,1,20.0,37.32993,-118.57853,106442728,0.0
Yo! Basecamp,Womb Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076356/yo-basecamp,2.3,-1,Boulder,V0,1,10.0,37.329,-118.57473,114076356,0.0
Tricky Grain,Small Fruit Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114241167/tricky-grain,0.0,-1,Boulder,V0,1,,37.32093,-118.57406999999999,114241167,0.0
Scoopy-Doo,Small Fruit Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114241182/scoopy-doo,2.0,-1,Boulder,V0,1,,37.32093,-118.57406999999999,114241182,0.0
Natural Melody,Natural Melody Boulder > Secrets of the Beehive Area > Beehive Area > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112499885/natural-melody,2.5,-1,Boulder,V0 PG13,1,30.0,37.33676,-118.57615,112499885,0.0
Lifeguard Fantasy,Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054347/lifeguard-fantasy,2.0,-1,Boulder,V0 PG13,1,18.0,37.318290000000005,-118.5863,114054347,0.0
Problem C,Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322544/problem-c,2.1,-1,Boulder,V0+,1,12.0,37.329,-118.5773,106322544,0.25
Unnamed Arete,Corner Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106395524/unnamed-arete,2.5,-1,Boulder,V0+,1,12.0,37.32909,-118.57791,106395524,0.25
West Arete,Pope's Hat > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107043966/west-arete,2.8,-1,"Trad, Boulder",V0+,1,,37.33013,-118.5785,107043966,0.25
Sketchpad,Sherman Acres > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107460413/sketchpad,3.8,-1,Boulder,V0+ R,1,30.0,37.2991,-118.5955,107460413,0.5
The Flake Crack,The Flake Crack Boulder > Secrets of the Beehive Area > Beehive Area > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112499931/the-flake-crack,3.0,-1,Boulder,V0-1,1,40.0,37.337109999999996,-118.5759,112499931,0.5
Roadside Crack,Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107956819/roadside-crack,2.4,-1,Boulder,V1,1,20.0,37.3388,-118.5776,107956819,1.0
John Bachar Memorial Problem,White Slab Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112252165/john-bachar-memorial-problem,4.0,-1,Boulder,V1 R,1,25.0,37.33744,-118.57356000000001,112252165,1.25
