route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks,log_star_ratings,log_ticks,log_avg_stars,log_length,log_grade,log_on_to_do_lists,sqrt_star_ratings,sqrt_ticks,sqrt_avg_stars,sqrt_length,sqrt_grade
Dance the Night Away,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111683515/dance-the-night-away,2.3,-1,Boulder,V8,1,,37.41624,-118.44938,111683515,8.0,8,3,3,10,0.9542425094393249,1.041392685158225,0.5185139398778874,,1.0,0.6020599913279623,2.8284271247461903,3.1622776601683795,1.51657508881031,,3.0
Disco Diva,Happy Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105988471/disco-diva,3.4,-1,Boulder,V8,1,12.0,37.41747,-118.45136000000001,105988471,8.0,27,16,76,33,1.447158031342219,1.5314789170422551,0.6434526764861874,1.1139433523068367,1.0,1.8864907251724818,5.196152422706632,5.744562646538029,1.8439088914585775,3.4641016151377544,3.0
Less Poetry Please,Desert Skies/Morning Dove Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106070985/less-poetry-please,4.0,-1,Boulder,V8,1,30.0,37.41698,-118.45133,106070985,8.0,3,2,12,1,0.6020599913279623,0.30102999566398114,0.6989700043360187,1.4913616938342726,1.0,1.1139433523068367,1.7320508075688772,1.0,2.0,5.477225575051661,3.0
A Big Round of Applause,Clapper Boulder > Clapper Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111726432/a-big-round-of-applause,2.0,-1,Boulder,V8,1,17.0,37.41533,-118.44877,111726432,8.0,2,1,3,3,0.47712125471966244,0.6020599913279623,0.47712125471966244,1.2552725051033058,1.0,0.6020599913279623,1.4142135623730951,1.7320508075688772,1.4142135623730951,4.123105625617661,3.0
Paper Crane,Pokemon Boulder > Clapper Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106068430/paper-crane,3.3,-1,Boulder,V8,1,8.0,37.41538,-118.44893,106068430,8.0,7,3,13,5,0.9030899869919434,0.7781512503836435,0.6334684555795864,0.9542425094393249,1.0,1.1461280356782377,2.6457513110645907,2.23606797749979,1.816590212458495,2.8284271247461903,3.0
Supersonic,Sabres of Paradise > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108574131/supersonic,2.5,-1,Boulder,V8,1,13.0,37.415690000000005,-118.44957,108574131,8.0,2,2,1,1,0.47712125471966244,0.30102999566398114,0.5440680443502756,1.1461280356782377,1.0,0.30102999566398114,1.4142135623730951,1.0,1.5811388300841898,3.605551275463989,3.0
Gang Related,Action Figure Cave > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114263452/gang-related,1.0,-1,Boulder,V8-9,1,12.0,37.41749,-118.45018,114263452,8.5,1,1,1,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.1139433523068367,1.021189299069938,0.30102999566398114,1.0,1.4142135623730951,1.0,3.4641016151377544,3.082207001484488
Jack of Swords,Sabres of Paradise > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111693651/jack-of-swords,1.0,-1,Boulder,V8-9,1,,37.415690000000005,-118.44957,111693651,8.5,1,1,0,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,,1.021189299069938,0.0,1.0,1.4142135623730951,1.0,,3.082207001484488
Pimp Trick Gangsta Chick,Headbangers Cave > Jesus Chrysler Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106687863/pimp-trick-gangsta-chick,2.0,-1,Boulder,V9-,1,12.0,37.41591,-118.44877,106687863,8.75,4,3,3,4,0.6989700043360187,0.6989700043360187,0.47712125471966244,1.1139433523068367,1.031408464251624,0.6020599913279623,2.0,2.0,1.4142135623730951,3.4641016151377544,3.122498999199199
Last Dance,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106129137/last-dance,2.8,-1,Boulder,V9,1,,37.41624,-118.44938,106129137,9.0,17,7,16,28,1.2552725051033058,1.462397997898956,0.57978359661681,,1.041392685158225,1.2304489213782739,4.123105625617661,5.291502622129181,1.6733200530681511,,3.1622776601683795
Acid Wash Right,Acid Wash Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107029691/acid-wash-right,3.0,-1,Boulder,V9,1,15.0,37.41625,-118.44931000000001,107029691,9.0,27,11,47,39,1.447158031342219,1.6020599913279623,0.6020599913279623,1.2041199826559246,1.041392685158225,1.6812412373755872,5.196152422706632,6.244997998398398,1.7320508075688772,3.872983346207417,3.1622776601683795
Prozac,Happy Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109971104/prozac,3.0,-1,Boulder,V9,1,14.0,37.41747,-118.45136000000001,109971104,9.0,2,1,9,1,0.47712125471966244,0.30102999566398114,0.6020599913279623,1.1760912590556811,1.041392685158225,1.0,1.4142135623730951,1.0,1.7320508075688772,3.7416573867739413,3.1622776601683795
Disco Hulk,Happy Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112505733/disco-hulk,2.3,-1,Boulder,V9,1,16.0,37.41747,-118.45136000000001,112505733,9.0,3,2,4,2,0.6020599913279623,0.47712125471966244,0.5185139398778874,1.2304489213782739,1.041392685158225,0.6989700043360187,1.7320508075688772,1.4142135623730951,1.51657508881031,4.0,3.1622776601683795
The Shining,Solarium Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106330654/the-shining,2.0,-1,Boulder,V9,1,12.0,37.41737,-118.45125,106330654,9.0,1,2,4,0,0.30102999566398114,0.0,0.47712125471966244,1.1139433523068367,1.041392685158225,0.6989700043360187,1.0,0.0,1.4142135623730951,3.4641016151377544,3.1622776601683795
