route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks,log_star_ratings,log_ticks,log_avg_stars,log_length,log_grade,log_on_to_do_lists,sqrt_star_ratings,sqrt_ticks,sqrt_avg_stars,sqrt_length,sqrt_grade
Problem A,Fit Homeless Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106060959/problem-a,1.7,-1,Boulder,V0-,1,,37.32895,-118.57595,106060959,-0.25,26,6,7,67,1.4313637641589871,1.8325089127062362,0.4313637641589873,,0.24303804868629442,0.9030899869919434,5.0990195135927845,8.18535277187245,1.3038404810405297,,0.8660254037844386
Problem C,Fit Homeless Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106060972/problem-c,1.5,-1,Boulder,V0-,1,,37.32895,-118.57595,106060972,-0.25,21,5,8,48,1.3424226808222062,1.6901960800285134,0.3979400086720376,,0.24303804868629442,0.9542425094393249,4.58257569495584,6.928203230275509,1.224744871391589,,0.8660254037844386
Xenolith Slab,Agent Orange Boulder > Zeppelin Area > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116715297/xenolith-slab,2.0,-1,Boulder,V0-,1,10.0,37.31821,-118.57395,116715297,-0.25,1,1,0,1,0.30102999566398114,0.30102999566398114,0.47712125471966244,1.041392685158225,0.24303804868629442,0.0,1.0,1.0,1.4142135623730951,3.1622776601683795,0.8660254037844386
Knob Slab,Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054760/knob-slab,2.0,-1,Boulder,V0-,1,,37.318290000000005,-118.5863,114054760,-0.25,1,1,1,0,0.30102999566398114,0.0,0.47712125471966244,,0.24303804868629442,0.30102999566398114,1.0,0.0,1.4142135623730951,,0.8660254037844386
Backside Crack,Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108010816/backside-crack,2.3,-1,Boulder,V0,1,20.0,37.3388,-118.5776,108010816,0.0,31,6,5,35,1.5051499783199058,1.556302500767287,0.5185139398778874,1.322219294733919,0.30102999566398114,0.7781512503836435,5.5677643628300215,5.916079783099616,1.51657508881031,4.47213595499958,1.0
Burned and Bare,Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108880968/burned-and-bare,2.7,-1,Boulder,V0,1,15.0,37.3388,-118.5776,108880968,0.0,12,3,2,9,1.1139433523068367,1.0,0.568201724066995,1.2041199826559246,0.30102999566398114,0.47712125471966244,3.4641016151377544,3.0,1.6431676725154984,3.872983346207417,1.0
Original Line,Lidija / Pollen Grain Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108054564/original-line,3.1,-1,Boulder,V0,1,35.0,37.3377,-118.5701,108054564,0.0,17,6,25,23,1.2552725051033058,1.380211241711606,0.6127838567197355,1.556302500767287,0.30102999566398114,1.414973347970818,4.123105625617661,4.795831523312719,1.760681686165901,5.916079783099616,1.0
Vic's Demise,Mead Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111450402/vics-demise,3.0,-1,Boulder,V0 X,1,35.0,37.3378,-118.572,111450402,0.25,3,2,6,2,0.6020599913279623,0.47712125471966244,0.6020599913279623,1.556302500767287,0.3521825181113625,0.8450980400142567,1.7320508075688772,1.4142135623730951,1.7320508075688772,5.916079783099616,1.118033988749895
Essential Peabody,Grandma Peabody Boulder > Peabody Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106395083/essential-peabody,3.1,-1,Boulder,V0,1,40.0,37.32837,-118.57479,106395083,0.0,63,18,124,84,1.8061799739838869,1.9294189257142926,0.6127838567197355,1.6127838567197355,0.30102999566398114,2.0969100130080562,7.937253933193772,9.16515138991168,1.760681686165901,6.324555320336759,1.0
Advanced Rockcraft Arete,Grandpa Peabody Boulder > Peabody Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109526745/advanced-rockcraft-arete,3.5,-1,Boulder,5.8+ V0 X,1,50.0,37.32817,-118.57477,109526745,0.25,16,6,44,11,1.2304489213782739,1.0791812460476247,0.6532125137753436,1.7075701760979363,0.3521825181113625,1.6532125137753435,4.0,3.3166247903554,1.8708286933869707,7.0710678118654755,1.118033988749895
